name,id,texture,count,quality,canUse,level,levelColHeader,minBid,minIncrement,buyoutPrice,bidAmount,highBidder,bidderFullName,owner,ownerFullName,saleStatus
1445,1445,135038,1,-1,false,854894080,9031,0,9506,0,false,0
1445,1445,135038,1,-1,false,854894080,9032,0,9507,0,false,0
7276,7276,133150,1,-1,false,854894080,570,0,599,0,false,0
7276,7276,133150,1,-1,false,854894080,570,0,599,0,false,0
7276,7276,133150,1,-1,false,854894080,570,0,599,0,false,0
7276,7276,133150,1,-1,false,854894080,570,0,599,0,false,0
7276,7276,133150,1,-1,false,854894080,570,0,599,0,false,0
7276,7276,133150,1,-1,false,854894080,570,0,599,0,false,0
7276,7276,133150,1,-1,false,854894080,570,0,599,0,false,0
7276,7276,133150,1,-1,false,854894080,570,0,599,0,false,0
7276,7276,133150,1,-1,false,854894080,570,0,599,0,false,0
7276,7276,133150,1,-1,false,854894080,570,0,599,0,false,0
42988,42988,237167,1,-1,false,854894080,1235000,0,1299999,0,false,0
42988,42988,237167,1,-1,false,854894080,1235000,0,1299999,0,false,0
42988,42988,237167,1,-1,false,854894080,1251014,0,1300000,0,false,0
42988,42988,237167,1,-1,false,854894080,1235000,0,1299999,0,false,0
42988,42988,237167,1,-1,false,854894080,1395814,0,1469277,0,false,0
42988,42988,237167,1,-1,false,854894080,1235000,0,1299999,0,false,0
42988,42988,237167,1,-1,false,854894080,1235000,0,1299999,0,false,0
42988,42988,237167,1,-1,false,854894080,1235000,0,1299999,0,false,0
42988,42988,237167,1,-1,false,854894080,1235000,0,1299999,0,false,0
42988,42988,237167,1,-1,false,854894080,1235000,0,1299999,0,false,0
42988,42988,237167,1,-1,false,854894080,1235000,0,1299999,0,false,0
42988,42988,237167,1,-1,false,854894080,1395815,0,1469278,0,false,0
42988,42988,237167,1,-1,false,854894080,1235000,0,1299999,0,false,0
2276,2276,132543,1,-1,false,854894080,2566347,0,2701417,0,false,0
35959,35959,133106,1,-1,false,854894080,662120,0,696969,0,false,0
35959,35959,133106,1,-1,false,854894080,102819,0,102819,0,false,0
35959,35959,133106,1,-1,false,854894080,97679,0,102820,0,false,0
35959,35959,133106,1,-1,false,854894080,661200,0,696000,0,false,0
10318,10318,134939,1,-1,false,854894080,44000,0,48888,0,false,0
10318,10318,134939,1,-1,false,854894080,48887,0,48887,0,false,0
24790,24790,132491,1,-1,false,854894080,38000,1900,40000,38000,false,0
Destiny,647,135317,1,4,false,52,REQ_LEVEL_ABBR,4990000,0,4990000,0,false,0
Destiny,647,135317,1,4,false,52,REQ_LEVEL_ABBR,2374998,0,2499997,0,false,0
Destiny,647,135317,1,4,false,52,REQ_LEVEL_ABBR,2374999,0,2499998,0,false,0
Destiny,647,135317,1,4,false,52,REQ_LEVEL_ABBR,2374999,0,2499999,0,false,0
Bolt of Silk Cloth,4305,132907,1,1,true,1,REQ_LEVEL_ABBR,4655,0,4899,0,false,0
Bolt of Silk Cloth,4305,132907,10,1,true,1,REQ_LEVEL_ABBR,49000,0,50000,0,false,0
Bolt of Silk Cloth,4305,132907,6,1,true,1,REQ_LEVEL_ABBR,25400,0,30000,0,false,0
Bolt of Silk Cloth,4305,132907,1,1,true,1,REQ_LEVEL_ABBR,4655,0,4899,0,false,0
Bolt of Silk Cloth,4305,132907,1,1,true,1,REQ_LEVEL_ABBR,4655,0,4899,0,false,0
Bolt of Silk Cloth,4305,132907,1,1,true,1,REQ_LEVEL_ABBR,4655,0,4899,0,false,0
Bolt of Silk Cloth,4305,132907,3,1,true,1,REQ_LEVEL_ABBR,12000,0,14685,0,false,0
Bolt of Silk Cloth,4305,132907,10,1,true,1,REQ_LEVEL_ABBR,49420,2400,27110100,49420,false,0
Bolt of Silk Cloth,4305,132907,1,1,true,1,REQ_LEVEL_ABBR,4655,0,4900,0,false,0
Bolt of Silk Cloth,4305,132907,1,1,true,1,REQ_LEVEL_ABBR,2950,0,3950,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,2088,0,2197,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,2089,0,2198,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,2089,0,2198,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,2088,0,2197,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,2200,0,2200,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,2200,0,2200,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,2200,0,2200,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,2089,0,2198,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,2088,0,2197,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,2090,0,2199,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,2200,0,2200,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,2089,0,2198,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,2200,0,2200,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,2089,0,2198,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,2090,0,2199,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,1992,0,2096,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,1992,0,2096,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,1992,0,2096,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,1992,0,2096,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,1992,0,2096,0,false,0
Embossed Leather Gloves,4239,132939,1,2,false,8,REQ_LEVEL_ABBR,1992,0,2096,0,false,0
14207,14207,134587,1,-1,false,854894080,20500,0,41000,0,false,0
38968,38968,134939,1,-1,false,854894080,142500,0,150000,0,false,0
38968,38968,134939,1,-1,false,854894080,202500,0,205692,0,false,0
38968,38968,134939,1,-1,false,854894080,149998,0,149998,0,false,0
38968,38968,134939,1,-1,false,854894080,205691,0,205691,0,false,0
38968,38968,134939,1,-1,false,854894080,142500,0,150000,0,false,0
38968,38968,134939,1,-1,false,854894080,149998,0,149998,0,false,0
38968,38968,134939,1,-1,false,854894080,149998,0,149998,0,false,0
38968,38968,134939,1,-1,false,854894080,149998,0,149998,0,false,0
38968,38968,134939,1,-1,false,854894080,142500,0,150000,0,false,0
38968,38968,134939,1,-1,false,854894080,149998,0,149998,0,false,0
38968,38968,134939,1,-1,false,854894080,149998,0,149998,0,false,0
38968,38968,134939,1,-1,false,854894080,149998,0,149998,0,false,0
38968,38968,134939,1,-1,false,854894080,149999,0,149999,0,false,0
38968,38968,134939,1,-1,false,854894080,149998,0,149998,0,false,0
38968,38968,134939,1,-1,false,854894080,149998,0,149998,0,false,0
38968,38968,134939,1,-1,false,854894080,149998,0,149998,0,false,0
14639,14639,134939,1,-1,false,854894080,46930,0,49399,0,false,0
14639,14639,134939,1,-1,false,854894080,49399,0,49399,0,false,0
14639,14639,134939,1,-1,false,854894080,9962,0,19900,0,false,0
35641,35641,132541,1,-1,false,854894080,104245,0,200000,0,false,0
35641,35641,132541,1,-1,false,854894080,134245,0,150000,0,false,0
35641,35641,132541,1,-1,false,854894080,184300,0,194000,0,false,0
Pattern: Guardian Armor,4299,134939,1,2,false,1,REQ_LEVEL_ABBR,9119,0,9598,0,false,0
Pattern: Guardian Armor,4299,134939,1,2,false,1,REQ_LEVEL_ABBR,9118,0,9597,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,7200,0,7498,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,7125,0,7499,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,7125,0,7499,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,7123,0,7497,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,7125,0,7499,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,7346,0,7346,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,1500,0,7500,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,7122,0,7496,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,7125,0,7499,0,false,0
Essence of Undeath,12808,136195,5,2,true,1,REQ_LEVEL_ABBR,34889,0,36725,0,false,0
Essence of Undeath,12808,136195,4,2,true,1,REQ_LEVEL_ABBR,66000,0,72500,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,1500,0,7500,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,1500,0,7500,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,1500,0,7500,0,false,0
Essence of Undeath,12808,136195,2,2,true,1,REQ_LEVEL_ABBR,51901,0,54632,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,1500,0,7500,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,7125,0,7499,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,7346,0,7346,0,false,0
Essence of Undeath,12808,136195,2,2,true,1,REQ_LEVEL_ABBR,13956,0,14690,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,9405,0,9900,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,6978,0,7345,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,11500,0,17500,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,1500,0,7500,0,false,0
Essence of Undeath,12808,136195,1,2,true,1,REQ_LEVEL_ABBR,6977,0,7344,0,false,0
Essence of Undeath,12808,136195,2,2,true,1,REQ_LEVEL_ABBR,13952,0,14686,0,false,0
Recipe: Limited Invulnerability Potion,3395,134939,1,2,false,1,REQ_LEVEL_ABBR,557723,0,587076,0,false,0
Recipe: Limited Invulnerability Potion,3395,134939,1,2,false,1,REQ_LEVEL_ABBR,557721,0,587074,0,false,0
Recipe: Limited Invulnerability Potion,3395,134939,1,2,false,1,REQ_LEVEL_ABBR,557722,0,587075,0,false,0
Recipe: Limited Invulnerability Potion,3395,134939,1,2,false,1,REQ_LEVEL_ABBR,428642,0,451202,0,false,0
Recipe: Limited Invulnerability Potion,3395,134939,1,2,false,1,REQ_LEVEL_ABBR,557721,0,587074,0,false,0
Recipe: Limited Invulnerability Potion,3395,134939,1,2,false,1,REQ_LEVEL_ABBR,424355,0,446689,0,false,0
41511,41511,237024,5,-1,false,854894080,522496,0,549995,0,false,0
41511,41511,237024,5,-1,false,854894080,522496,0,549995,0,false,0
41511,41511,237024,5,-1,false,854894080,522496,0,549995,0,false,0
41511,41511,237024,5,-1,false,854894080,522496,0,549995,0,false,0
41511,41511,237024,10,-1,false,854894080,1099980,0,1099980,0,false,0
41511,41511,237024,5,-1,false,854894080,522496,0,549995,0,false,0
41511,41511,237024,5,-1,false,854894080,522496,0,549995,0,false,0
41511,41511,237024,5,-1,false,854894080,522496,0,549995,0,false,0
41511,41511,237024,5,-1,false,854894080,522496,0,549995,0,false,0
41511,41511,237024,5,-1,false,854894080,522496,0,549995,0,false,0
41511,41511,237024,5,-1,false,854894080,522496,0,549995,0,false,0
41511,41511,237024,1,-1,false,854894080,128598,0,27110101,0,false,0
40924,40924,254289,1,-1,false,854894080,39140,0,41200,0,false,0
40924,40924,254289,1,-1,false,854894080,39140,0,41200,0,false,0
40924,40924,254289,1,-1,false,854894080,39140,0,41200,0,false,0
40924,40924,254289,1,-1,false,854894080,39140,0,41200,0,false,0
40924,40924,254289,1,-1,false,854894080,39140,0,41200,0,false,0
40924,40924,254289,1,-1,false,854894080,39140,0,41200,0,false,0
40924,40924,254289,1,-1,false,854894080,39140,0,41200,0,false,0
40924,40924,254289,1,-1,false,854894080,39140,0,41200,0,false,0
Enduring Cap,3020,133117,1,3,false,28,REQ_LEVEL_ABBR,4828514,0,4828514,0,false,0
Deep Frozen Cord,41986,132520,1,3,false,80,REQ_LEVEL_ABBR,2960403,0,3116213,0,false,0
Deep Frozen Cord,41986,132520,1,3,false,80,REQ_LEVEL_ABBR,3116212,0,3116212,0,false,0
24958,24958,132523,1,-1,false,854894080,578680,0,578680,0,false,0
Recipe: Haste Potion,22913,134942,1,2,false,1,REQ_LEVEL_ABBR,7828604,0,8240635,0,false,0
Recipe: Haste Potion,22913,134942,1,2,false,1,REQ_LEVEL_ABBR,8240637,0,8240637,0,false,0
Recipe: Haste Potion,22913,134942,1,2,false,1,REQ_LEVEL_ABBR,8240634,0,8240634,0,false,0
10570,10570,132395,1,-1,false,854894080,7773812,0,9990000,0,false,0
24615,24615,132660,1,-1,false,854894080,25000,1300,150000,26200,false,0
Four of Swords,37160,134483,1,1,true,1,REQ_LEVEL_ABBR,2850,0,2999,0,false,0
Four of Swords,37160,134483,1,1,true,1,REQ_LEVEL_ABBR,2500,0,3000,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1700000,0,1700000,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1700000,0,1700000,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1833000,0,1975000,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1700000,0,1700000,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1700000,0,1700000,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1615000,0,1699999,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1700000,0,1700000,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1776499,0,1869998,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1615000,0,1699999,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1700000,0,1700000,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1615000,0,1699999,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1615000,0,1699999,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1615000,0,1699999,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1519999,0,1599998,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1519999,0,1599998,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1519998,0,1599997,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1876250,0,1974999,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1876250,0,1974999,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1876250,0,1974999,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1876250,0,1974999,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1876250,0,1974999,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1876250,0,1974999,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1876250,0,1974999,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1519998,0,1599997,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,2750000,0,2750000,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,2750000,0,2750000,0,false,0
Icescale Leg Armor,38374,237265,1,4,false,80,REQ_LEVEL_ABBR,1590000,0,1590000,0,false,0
Lean Wolf Flank,1015,133970,1,1,true,1,REQ_LEVEL_ABBR,1500,0,2500,0,false,0
Lean Wolf Flank,1015,133970,9,1,true,1,REQ_LEVEL_ABBR,23077,0,24291,0,false,0
Lean Wolf Flank,1015,133970,6,1,true,1,REQ_LEVEL_ABBR,8545,0,8994,0,false,0
Lean Wolf Flank,1015,133970,1,1,true,1,REQ_LEVEL_ABBR,3374,0,3551,0,false,0
Lean Wolf Flank,1015,133970,1,1,true,1,REQ_LEVEL_ABBR,2600,0,2700,0,false,0
Lean Wolf Flank,1015,133970,7,1,true,1,REQ_LEVEL_ABBR,9962,0,10486,0,false,0
Girdle of Golem Strength,9405,132516,1,3,false,28,REQ_LEVEL_ABBR,1993082,0,2500000,0,false,0
Packet of Tharlendris Seeds,11022,136074,12,1,true,1,REQ_LEVEL_ABBR,11378,0,11976,0,false,0
Packet of Tharlendris Seeds,11022,136074,7,1,true,1,REQ_LEVEL_ABBR,6631,0,6979,0,false,0
Packet of Tharlendris Seeds,11022,136074,13,1,true,1,REQ_LEVEL_ABBR,12301,0,12948,0,false,0
36258,36258,132605,1,-1,false,854894080,350114,0,350114,0,false,0
Buzzard Meat,27671,134038,11,1,true,1,REQ_LEVEL_ABBR,41915,0,44121,0,false,0
Buzzard Meat,27671,134038,1,1,true,1,REQ_LEVEL_ABBR,4012,0,4012,0,false,0
Buzzard Meat,27671,134038,1,1,true,1,REQ_LEVEL_ABBR,4011,0,4011,0,false,0
Buzzard Meat,27671,134038,11,1,true,1,REQ_LEVEL_ABBR,41905,0,44110,0,false,0
Buzzard Meat,27671,134038,1,1,true,1,REQ_LEVEL_ABBR,4011,0,4011,0,false,0
Buzzard Meat,27671,134038,20,1,true,1,REQ_LEVEL_ABBR,80180,0,80180,0,false,0
Outlander's Leggings of Stamina,24586,134597,1,2,false,57,REQ_LEVEL_ABBR,30783,0,50000,0,false,0
Crystallized Fire,37702,237003,10,1,true,1,REQ_LEVEL_ABBR,156330,0,159520,0,false,0
Crystallized Fire,37702,237003,5,1,true,1,REQ_LEVEL_ABBR,80035,0,80430,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15160,0,15957,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15156,0,15953,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15156,0,15953,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15156,0,15953,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15156,0,15953,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15156,0,15953,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15156,0,15953,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15156,0,15953,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15156,0,15953,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15156,0,15953,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15156,0,15953,0,false,0
Crystallized Fire,37702,237003,10,1,true,1,REQ_LEVEL_ABBR,159550,0,159550,0,false,0
Crystallized Fire,37702,237003,2,1,true,1,REQ_LEVEL_ABBR,30336,0,31932,0,false,0
Crystallized Fire,37702,237003,2,1,true,1,REQ_LEVEL_ABBR,32014,0,32172,0,false,0
Crystallized Fire,37702,237003,5,1,true,1,REQ_LEVEL_ABBR,80020,0,80415,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15154,0,15951,0,false,0
Crystallized Fire,37702,237003,2,1,true,1,REQ_LEVEL_ABBR,30334,0,31930,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,10,1,true,1,REQ_LEVEL_ABBR,157624,0,160840,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15160,0,15957,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15051,0,16723,0,false,0
Crystallized Fire,37702,237003,4,1,true,1,REQ_LEVEL_ABBR,63524,0,63840,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15156,0,15953,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,10900,0,15969,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,6,1,true,1,REQ_LEVEL_ABBR,65394,0,95808,0,false,0
Crystallized Fire,37702,237003,10,1,true,1,REQ_LEVEL_ABBR,151630,0,159610,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15154,0,15951,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15166,0,15964,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15166,0,15964,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15166,0,15964,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15156,0,15953,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15156,0,15953,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,2,1,true,1,REQ_LEVEL_ABBR,31762,0,31920,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,3,1,true,1,REQ_LEVEL_ABBR,47643,0,47880,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15156,0,15953,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15156,0,15953,0,false,0
Crystallized Fire,37702,237003,7,1,true,1,REQ_LEVEL_ABBR,106181,0,111769,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15162,0,15959,0,false,0
Crystallized Fire,37702,237003,1,1,true,1,REQ_LEVEL_ABBR,15156,0,15953,0,false,0
